w,i_vggish,i_spectrum,i_speechvgg,mark_speechvgg,mark_vggish,mark_spectrum,ico_2017,ico_2022,length,iconicity_mean,humor,sensory,sensory_sound,sensory_d2,conc,freq,cd,aoa
humorous,0.5775313973426819,0.0681776478886604,0.0412374943022836,0.22949548330551847,0.80403125,0.59216565,,4.6,8,0.22898217984454194,,,3.941,,2.23,1.8808,67,8.56
hammering,0.5765883326530457,0.0184032879769802,-0.0437404938679512,0.3103972337530468,0.85857654,0.844073,,,9,0.1837503755873582,,,4.526,,3.85,1.9085,63,
footsteps,0.5763126611709595,0.4387823641300201,-0.0637995999376617,0.2698392316490704,0.86751753,0.47152013,,,9,0.31709847512110595,,,4.471,,3.96,2.5092,240,6.46
shattering,0.575271487236023,0.1729208976030349,-0.1367746698441679,0.31088575898141,0.7278344,0.7376431,,,10,0.20380590499829665,,,3.588,,3.43,1.6021,36,8.0
chat,0.5750133991241455,0.906051218509674,0.2084995101953705,0.3493466688924969,0.84907603,0.79204106,,4.4,4,0.56318804260973,2.413043478,,4.297,2.4,3.66,2.9196,644,7.33
warn,0.5750124454498291,0.474257081747055,0.0521696613431513,0.24870671171833536,0.87905484,0.85018206,,4.0,4,0.3671463961800118,,,3.667,2.1,2.89,3.1119,1025,5.74
alarm,0.5738929510116577,-0.3212273120880127,-0.0670198059617009,0.25500586661275726,0.8186574,0.8646175,1.090909091,4.6,5,0.06188194432064805,1.827586207,,4.1,5.11,4.47,3.1827,898,6.39
noise,0.5734317898750305,-0.3800909519195556,-0.253996691361829,0.3471267988480918,0.87546706,0.8478213,0.909090909,,5,-0.02021861780211805,,,5.0,3.73,3.52,3.2504,1252,4.5
interview,0.5728421807289124,-0.1097072958946228,0.0402742009878353,0.2795797364780337,0.85940826,0.85274243,0.6,3.4,9,0.16780302860737495,,,3.667,,3.36,3.1778,815,10.53
creaking,0.5722377300262451,-0.5194563865661621,-0.0721549887908477,0.3901555291199253,0.8837053,0.8427075,2.0,,8,-0.006457881776921563,,,4.378,,3.36,2.1553,72,7.74
