w,i
lion,0.5907106995582581
gargle,0.5900522470474243
radio,0.5890863537788391
thud,0.588487982749939
snore,0.5870274305343628
recital,0.5864556431770325
explode,0.5855304002761841
pop,0.5849622488021851
whoosh,0.5841974020004272
babble,0.5837880373001099
gurgle,0.5826038718223572
humor,0.5820949077606201
snap,0.5813090801239014
person,0.5787857174873352
answer,0.5784541964530945
humorous,0.5775313973426819
hammering,0.5765883326530457
footsteps,0.5763126611709595
shattering,0.575271487236023
chat,0.5750133991241455
warn,0.5750124454498291
alarm,0.5738929510116577
noise,0.5734317898750305
interview,0.5728421807289124
creaking,0.5722377300262451
jet,0.5720506906509399
beep,0.5717822313308716
knock,0.5692592859268188
gunfire,0.567209005355835
donkey,0.5664438605308533
expletive,0.5656481385231018
men,0.5647578239440918
hush,0.5634207725524902
mantra,0.5628404021263123
shout,0.5621312260627747
cracking,0.5617749094963074
dog,0.5594825148582458
audio,0.5583338141441345
profanity,0.557514488697052
flatulence,0.5564900040626526
son,0.5559534430503845
rattling,0.5525082945823669
refusal,0.5517186522483826
knocking,0.5514107942581177
humming,0.5512558817863464
telephone,0.5497033596038818
outside,0.549503743648529
firecracker,0.5482528209686279
recording,0.5442823171615601
comedy,0.5410319566726685
gun,0.5384845733642578
silent,0.5377311110496521
stereo,0.5372500419616699
ding,0.5362107753753662
sport,0.5332773327827454
amplifier,0.531659722328186
shooting,0.5309615731239319
growling,0.5297742486000061
me,0.5296079516410828
pleading,0.529371976852417
muffled,0.5284055471420288
noisy,0.5236113667488098
city,0.522990345954895
real,0.5221144556999207
cooing,0.5215634107589722
bark,0.5202414393424988
accent,0.5187411904335022
whistle,0.5187013745307922
jingling,0.5164595246315002
call,0.5155764818191528
feedback,0.5153762698173523
typewriter,0.5144171118736267
fireworks,0.5143757462501526
horn,0.5142919421195984
automobile,0.5135133266448975
insect,0.5131292939186096
loud,0.5127915143966675
cannon,0.5118384957313538
screaming,0.5107213854789734
rumbling,0.5080865621566772
crying,0.5067556500434875
boom,0.5060460567474365
sobbing,0.503633975982666
coach,0.5025705099105835
album,0.5020260810852051
bellow,0.5015279054641724
sound,0.5003665685653687
motor,0.49977803230285645
cellphone,0.49926021695137024
silence,0.49796146154403687
arcade,0.49790263175964355
bass,0.4966147840023041
tone,0.4958399832248688
squeaky,0.4954148232936859
howling,0.49303725361824036
someone,0.49215227365493774
automotive,0.49097153544425964
creaky,0.4896272122859955
drilling,0.4886702597141266
sarcasm,0.4871177673339844
tapping,0.4866727292537689
cartoon,0.4864360988140106
buzzer,0.4864087998867035
bell,0.4849401116371155
baby,0.4843504726886749
thudding,0.4840550720691681
moaning,0.4829733073711395
tinkle,0.4811396896839142
communicate,0.48105889558792114
reverberation,0.47909417748451233
explosion,0.47870388627052307
rustling,0.4786050021648407
umpire,0.4784074127674103
cowbell,0.47503817081451416
gunshot,0.47369834780693054
singing,0.4723781645298004
plead,0.47105225920677185
bleating,0.47049084305763245
percussion,0.4694376289844513
bird,0.468905508518219
destruction,0.46672189235687256
announcement,0.4661751091480255
beeper,0.4658229947090149
rhythm,0.4634387195110321
doorbell,0.46206432580947876
song,0.46145910024642944
reggae,0.460143506526947
chatter,0.45914730429649353
thunderstorm,0.45852476358413696
joke,0.45851054787635803
cluck,0.45773571729660034
pager,0.45767298340797424
parade,0.4554218649864197
barking,0.4536973834037781
train,0.4532586634159088
woodpecker,0.4528972804546356
conversation,0.45206090807914734
cymbal,0.451515793800354
sizzle,0.4495566189289093
notification,0.44656339287757874
owl,0.4464995265007019
excitement,0.44630348682403564
people,0.44467419385910034
whistling,0.43710294365882874
