,w,i
365,media,0.9959494422954386
128,television,0.9959430252626633
144,story,0.9959403189948697
255,humorous,0.9958909178092551
210,argument,0.9958897482172332
236,question,0.9958839331021471
209,liar,0.9958755700950155
63,movie,0.9958334955555235
248,comedy,0.9958290031587629
285,whir,0.9958258836880491
313,cooing,0.9957558980764133
118,mumble,0.9957490235280398
183,cowbell,0.9957484886066141
78,man,0.9957312862477674
21,shrill,0.995711216613825
240,foghorn,0.995640579444549
176,broadcast,0.9956364031161931
112,whistle,0.9956344412727114
294,tinkle,0.995575268872217
167,moan,0.9955748565196848
259,newsflash,0.995564637958115
26,fiddle,0.9955597854408955
157,politics,0.9955191543817955
219,tuning,0.9955121927473246
158,flatulence,0.9955092816289816
152,destruction,0.9955052331168154
366,advertisement,0.9954964263853249
93,slam,0.9954947107161202
245,band,0.9954793098983308
220,howling,0.9954711651292553
237,gunfire,0.9954700958564293
16,bellow,0.9954613284135226
213,muttering,0.9954371670799953
75,creaking,0.9954244527902474
296,insect,0.9954244182509318
130,growl,0.9954211127576545
143,mower,0.9953903999008489
334,rooster,0.9953885722376947
276,booming,0.9953739207122689
332,call,0.9953569076665069
83,boom,0.9953396369833147
120,chatter,0.9953374359089525
165,macaw,0.9953358966432341
126,ocean,0.9953227966812529
107,sport,0.9952875050716706
318,singer,0.9952496090349258
317,bees,0.99519369642874
267,chaos,0.9951914980605325
51,howl,0.9951779619045624
229,sarcastic,0.9951705339899295
284,real,0.9951498532517812
202,baritone,0.995121775081791
153,amplification,0.9951179388117246
268,rainy,0.9951030155639321
243,seashore,0.995095389202866
362,whine,0.9950816953176289
95,word,0.9950237717792858
35,ticking,0.9950144935809119
39,parade,0.9950144655551666
357,disco,0.9949792952090651
100,giggling,0.9949454263545947
349,tone,0.9949355537373321
319,accent,0.9949136570579172
134,footsteps,0.9949043261406896
9,spoken,0.9949001556625795
81,shattering,0.9948895445603488
172,festive,0.994879443648539
5,sigh,0.9948603602727519
274,clunk,0.9948594027387889
257,rhythmic,0.9948553667824948
290,yes,0.9948463170354164
180,saxophone,0.9948348547177721
2,whoosh,0.9948235903624139
139,men,0.9947946497634367
291,reverberation,0.9947789946055069
91,swear,0.9947631413141311
247,unintelligible,0.9947530513726606
72,woodpecker,0.9947501850967895
84,voice,0.994733168773651
38,gunshot,0.9947188670133448
169,whisper,0.9946910793306412
58,firecracker,0.9946838224516027
52,chorus,0.9946729014285566
170,ridicule,0.994646234141812
94,answer,0.99455609687716
159,laughing,0.9945528510637464
19,storm,0.9945477207412156
85,thunder,0.9945360932501844
