w,iconicity_speechVGG,iconicity_VGGish,iconicity_mean
speak,-0.024388427916372,0.730230391025543,0.352920981554585
speaking,-0.024514049866696,0.696061730384827,0.335773840259066
duet,-0.025188729938509,0.462623953819275,0.218717611940383
dog,-0.026702919977863,0.567130923271179,0.270214001646658
explode,-0.027792374471093,0.56734573841095,0.269776681969928
argue,-0.02852924638592,0.690248489379883,0.330859621496981
squeaky,-0.028550209093073,0.48337921500206,0.227414502954493
cellphone,-0.029551553527093,0.493358463048935,0.231903454760921
gargle,-0.034072396001557,0.663395047187805,0.314661325593124
rap,-0.036074376981249,0.3769551217556,0.170440372387176
cartoon,-0.036471898826275,0.48274439573288,0.223136248453302
word,-0.038553000148466,0.593045353889465,0.2772461768705
horn,-0.042478936545134,0.513299584388733,0.2354103239218
bass,-0.043209619292787,0.488371163606644,0.222580772156929
creek,-0.043818642252182,0.600655674934387,0.278418516341102
sigh,-0.046927701424406,0.615553915500641,0.284313107038117
drummer,-0.048043146414969,0.348982721567154,0.150469787576092
melodic,-0.048151777647814,0.461434543132782,0.206641382742484
rattling,-0.049132416790755,0.55260705947876,0.251737321344002
plead,-0.049399954208694,0.471052259206772,0.210826152499039
tone,-0.049847975213687,0.528534948825836,0.239343486806075
chaos,-0.052434842837106,0.399271637201309,0.173418397182102
cracking,-0.052542490928927,0.562188804149628,0.25482315661035
howl,-0.053168884496757,0.439670085906982,0.193250600705112
mumble,-0.054009532041003,0.757151246070862,0.351570857014929
disturbance,-0.054099057590798,0.254012048244476,0.099956495326839
conversation,-0.055314967121302,0.483468800783157,0.214076916830928
shattering,-0.05673626507461,0.575512111186981,0.259387923056186
gasp,-0.058369552353621,0.681370675563812,0.311500561605096
barking,-0.059179803749771,0.455786257982254,0.198303227116242
amplification,-0.06055369694286,0.21858337521553,0.079014839136335
someone,-0.061152784899297,0.492152273654938,0.215499744377821
sneeze,-0.062395308655684,0.654106914997101,0.295855803170708
choral,-0.063033652528656,0.326297432184219,0.131631889827782
yapping,-0.064430447998102,0.368812739849091,0.152191145925494
poetry,-0.064487445505185,0.631446599960327,0.283479577227571
amen,-0.064513678324013,0.378848135471344,0.157167228573666
moan,-0.065067938278753,0.643079400062561,0.289005730891904
